,MW
2022-01-01,4142.373339099731
2022-01-02,4151.21014061968
2022-01-03,3732.371546783371
2022-01-04,3943.2641513518756
2022-01-05,4462.000667357823
2022-01-06,4375.900652020092
2022-01-07,4464.703384929026
2022-01-08,3684.70873098003
2022-01-09,4043.692146180088
2022-01-10,3663.4096388244907
2022-01-11,4019.4774378540583
2022-01-12,4370.727237298416
2022-01-13,4463.9112742743655
2022-01-14,4424.394704948385
2022-01-15,3743.481162461008
2022-01-16,3993.1087155317564
2022-01-17,3716.353280851184
2022-01-18,3966.4209352764738
2022-01-19,4423.868447460798
2022-01-20,4410.911548537385
2022-01-21,4476.539375635921
2022-01-22,3691.1536349903495
2022-01-23,4045.2014308540374
2022-01-24,3664.3297740893245
2022-01-25,4018.3399803376547
2022-01-26,4372.05387502577
2022-01-27,4462.618269832894
2022-01-28,4424.951350041373
2022-01-29,3742.639308894585
2022-01-30,3993.8243800343125
2022-01-31,3715.60099229794
2022-02-01,3967.174925125005
2022-02-02,4423.112983351769
2022-02-03,4411.6649446957435
2022-02-04,4475.798938998575
2022-02-05,3691.896986753251
2022-02-06,4044.4615526188722
2022-02-07,3665.0687115483743
2022-02-08,4017.602522789093
2022-02-09,4372.789851968168
2022-02-10,4461.883825346204
2022-02-11,4425.684095789295
2022-02-12,3741.90801193987
2022-02-13,3994.5541319504996
2022-02-14,3714.872742948362
2022-02-15,3967.901666606684
2022-02-16,4422.387746672343
2022-02-17,4412.388678836272
2022-02-18,4475.076706918999
2022-02-19,3692.6177237151155
2022-02-20,4043.7423092205245
2022-02-21,3665.7864650879114
2022-02-22,4016.8862561527635
2022-02-23,4373.50463478069
2022-02-24,4461.170523296842
2022-02-25,4426.395920102114
2022-02-26,3741.1976622427032
2022-02-27,3995.263010062869
2022-02-28,3714.1653333627255
2022-03-01,3968.6076107057893
2022-03-02,4421.683265023847
2022-03-03,4413.091701063603
2022-03-04,4474.3751410901
2022-03-05,3693.3178361636183
2022-03-06,4043.0436471419325
2022-03-07,3666.4836798013616
2022-03-08,4016.1904858060907
2022-03-09,4374.19896375277
2022-03-10,4460.47763271337
2022-03-11,4427.087375276767
2022-03-12,3740.507639503228
2022-03-13,3995.951603334629
2022-03-14,3713.478166597359
2022-03-15,3969.293353919947
2022-03-16,4420.998942411835
2022-03-17,4413.774606016422
2022-03-18,4473.693650859617
2022-03-19,3693.997914602539
2022-03-20,4042.364977569873
2022-03-21,3667.160943425202
2022-03-22,4015.5146252178733
2022-03-23,4374.873424211927
2022-03-24,4459.804569482732
2022-03-25,4427.759044173417
2022-03-26,3739.8373620520283
2022-03-27,3996.620492222929
2022-03-28,3712.8106633953776
2022-03-29,3969.9594743062303
2022-03-30,4420.334201976575
2022-03-31,4414.437969359397
2022-04-01,4473.0316617561075
2022-04-02,3694.6585323134896
2022-04-03,4041.7057284104712
2022-04-04,3667.818826868179
2022-04-05,4014.8581046620698
2022-04-06,4375.528584703948
2022-04-07,4459.150766236955
2022-04-08,4428.4114929846555
2022-04-09,3739.18626486945
2022-04-10,3997.2702405769137
2022-04-11,3712.16226107572
2022-04-12,3970.6065333800375
2022-04-13,4419.688483365919
2022-04-14,4415.08235028384
2022-04-15,4472.388615746696
2022-04-16,3695.300246173312
2022-04-17,4041.0653439405246
2022-04-18,3668.4578847022453
2022-04-19,4014.2203707155923
2022-04-20,4376.164997505433
2022-04-21,4458.5156718435455
2022-04-22,4429.045271701235
2022-04-23,3738.553799104113
2022-04-24,3997.90139611095
2022-04-25,3711.532413058678
2022-04-26,3971.235076588769
2022-04-27,4419.0612422624245
2022-04-28,4415.7082919795685
2022-04-29,4471.7639707668495
2022-04-30,3695.9235971235853
2022-05-01,4040.443284339082
2022-05-02,3669.0786556300463
2022-05-03,4013.600885791785
2022-05-04,4376.783199089363
2022-05-05,4457.898750940895
2022-05-06,4429.660914575697
2022-05-07,3737.939431610247
2022-05-08,3998.5144908663297
2022-05-09,3710.9205884051485
2022-05-10,3971.845633771621
2022-05-11,4418.451949924526
2022-05-12,4416.316322092795
2022-05-13,4471.157200263438
2022-05-14,3696.529110626619
2022-05-15,4039.839025232394
2022-05-16,3669.6816629390264
2022-05-17,4012.999127687259
2022-05-18,4377.383710577317
2022-05-19,4457.299483486991
2022-05-20,4430.25894057272
2022-05-21,3737.3426444982715
2022-05-22,3999.110041659761
2022-05-23,3710.3262713690738
2022-05-24,3972.438719606221
2022-05-25,4417.860092740815
2022-05-26,4416.906953170921
2022-05-27,4470.56779275087
2022-05-28,3697.1172971084
2022-05-29,4039.2520572518843
2022-05-30,3670.267414942541
2022-05-31,4012.414589141692
2022-06-01,4377.9670381787655
2022-06-02,4456.717364321042
2022-06-03,4430.839853806597
2022-06-04,3736.7629346982317
2022-06-05,3999.6885505190276
2022-06-06,3709.7489609626828
2022-06-07,3973.0148340424803
2022-06-08,4417.285171797088
2022-06-09,4417.480683094585
2022-06-10,4469.9952513799235
2022-06-11,3697.6886523888634
2022-06-12,4038.6818856047707
2022-06-13,3670.836405408348
2022-06-14,4011.846777410228
2022-06-15,4378.5336736177815
2022-06-16,4456.151902737639
2022-06-17,4431.404143966175
2022-06-18,3736.1998135357285
2022-06-19,4000.250505106178
2022-06-20,3709.18817053418
2022-06-21,3973.5744627240356
2022-06-22,4416.726702455778
2022-06-23,4418.037995497368
2022-06-24,4469.439093518928
2022-06-25,3698.243658099849
2022-06-26,4038.128029656973
2022-06-27,3671.389113974835
2022-06-28,4011.2952138481096
2022-06-29,4379.08409454755
2022-06-30,4455.6026220731155
2022-07-01,4431.952286727655
2022-07-02,3735.6528063199858
2022-07-03,4000.796379128608
2022-07-04,3708.643427357512
2022-07-05,3974.1180773976284
2022-07-06,4416.184213947426
2022-07-07,4418.5793601734695
2022-07-08,4468.898850346917
2022-07-09,3698.7827820911025
2022-07-10,4037.590022527955
2022-07-11,3671.926006555336
2022-07-12,4010.7594335071994
2022-07-13,4379.618764953011
2022-07-14,4455.069059303733
2022-07-15,4432.484744155562
2022-07-16,3735.121451943701
2022-07-17,4001.326632738379
2022-07-18,3708.11427223388
2022-07-19,3974.646136310771
2022-07-20,4415.6572489738355
2022-07-21,4419.105233473737
2022-07-22,4468.374066458435
2022-07-23,3699.306478824652
2022-07-24,4037.0674106971624
2022-07-25,3672.4475357308825
2022-07-26,4010.238984744045
